Date,Model,Asset,Weight,Vol90d,Mcap,RawWeight,Note
2022-01-02,MCW_Cap40,ETH,0.3961552670998771,,452801817488.34094,0.2799003219445222,mcw_cap_40
2022-01-02,MCW_Cap40,SOL,0.09083942357019859,,103828623542.7208,0.06418186507701562,mcw_cap_40
2022-04-03,AXIS_IVW,BNB,0.17037983369075446,0.2001782566493276,64391908976.618706,,ivw_weights
2022-04-03,AXIS_IVW,BTC,0.3176442859300362,0.10737274236354374,895433017146.5585,,ivw_weights
2022-04-03,AXIS_IVW,ETH,0.2322440305783309,0.1468556069729175,413962571461.3503,,ivw_weights
2022-04-03,AXIS_IVW,SOL,0.14836315689746685,0.22988414906800844,76896642670.29039,,ivw_weights
2022-04-03,AXIS_IVW,XRP,0.13136869290341155,0.2596230298302061,43777960644.20707,,ivw_weights
2022-04-03,MCW_Cap40,BNB,0.06958785593292859,,64391908976.618706,0.04308701367393821,mcw_cap_40
2022-04-03,MCW_Cap40,BTC,0.3999999999999999,,895433017146.5585,0.5991674306145952,mcw_cap_40
2022-04-03,MCW_Cap40,ETH,0.3999999999999999,,413962571461.3503,0.27699770453350575,mcw_cap_40
2022-04-03,MCW_Cap40,SOL,0.08310162840193293,,76896642670.29039,0.051454394610630554,mcw_cap_40
2022-04-03,MCW_Cap40,XRP,0.047310515665138615,,43777960644.20707,0.0292934565673305,mcw_cap_40
2022-07-03,AXIS_IVW,BNB,0.17629393995322695,0.19211469815806753,32025821568.444168,,ivw_weights
2022-07-03,AXIS_IVW,BTC,0.3095055863271553,0.10942825770327338,374872669810.2149,,ivw_weights
2022-07-03,AXIS_IVW,ETH,0.22704493143291563,0.14917160602291518,127849991631.63776,,ivw_weights
2022-07-03,AXIS_IVW,SOL,0.14917690160600647,0.22703687163755243,19320870410.99263,,ivw_weights
2022-07-03,AXIS_IVW,XRP,0.13797864068069574,0.2454630433676186,16699732154.942478,,ivw_weights
2022-07-03,MCW_Cap40,BNB,0.09809006900880671,,32025821568.444168,0.05610994424498626,mcw_cap_40
2022-07-03,MCW_Cap40,BTC,0.4,,374872669810.2149,0.6567851680890431,mcw_cap_40
2022-07-03,MCW_Cap40,ETH,0.39158447426933396,,127849991631.63776,0.22399599919214985,mcw_cap_40
2022-07-03,MCW_Cap40,SOL,0.059176796069826725,,19320870410.99263,0.03385059019355759,mcw_cap_40
2022-07-03,MCW_Cap40,XRP,0.051148660652032565,,16699732154.942478,0.02925829828026322,mcw_cap_40
2022-10-02,AXIS_IVW,BNB,0.17161825963873167,0.1894578297897321,41609825845.2649,,ivw_weights
2022-10-02,AXIS_IVW,BTC,0.31627947092423914,0.10280282475631591,376692225150.2088,,ivw_weights
2022-10-02,AXIS_IVW,ETH,0.2161593416415233,0.15041877337582985,157459067063.36627,,ivw_weights
2022-10-02,AXIS_IVW,SOL,0.1488592250084067,0.21842397084633922,18828130052.372475,,ivw_weights
2022-10-02,AXIS_IVW,XRP,0.1470837027870992,0.22106067774557503,25185771530.375988,,ivw_weights
2022-10-02,MCW_Cap40,BNB,0.10270531717144751,,41609825845.2649,0.06713698443239545,mcw_cap_40
2022-10-02,MCW_Cap40,BTC,0.3999999999999999,,376692225150.2088,0.607788654289499,mcw_cap_40
2022-10-02,MCW_Cap40,ETH,0.3886553979918563,,157459067063.36627,0.25405842777339394,mcw_cap_40
2022-10-02,MCW_Cap40,SOL,0.04647337568691685,,18828130052.372475,0.030378975363125563,mcw_cap_40
2022-10-02,MCW_Cap40,XRP,0.06216590914977936,,25185771530.375988,0.040636958141586195,mcw_cap_40
2023-01-01,AXIS_IVW,BNB,0.2314453301952866,0.12587228448685725,36146589687.05254,,ivw_weights
2023-01-01,AXIS_IVW,BTC,0.32882703686925185,0.08859536832149056,323971910866.1714,,ivw_weights
2023-01-01,AXIS_IVW,DOGE,0.07269320896075376,0.4007603029496753,9847930210.691805,,ivw_weights
2023-01-01,AXIS_IVW,ETH,0.22236619192169033,0.13101160834626877,143998617443.21307,,ivw_weights
2023-01-01,AXIS_IVW,XRP,0.14466823205301754,0.20137491163104368,18305274155.88605,,ivw_weights
2023-01-01,MCW_Cap40,BNB,0.11243143222792852,,36146589687.05254,0.06791021059859152,mcw_cap_40
2023-01-01,MCW_Cap40,BTC,0.4,,323971910866.1714,0.6086604818166409,mcw_cap_40
2023-01-01,MCW_Cap40,DOGE,0.03063129627593507,,9847930210.691805,0.018501745817748966,mcw_cap_40
