Date,BTC_Price,BTC_Market_Cap,ETH_Price,ETH_Market_Cap,SOL_Price,SOL_Market_Cap,BNB_Price,BNB_Market_Cap,XRP_Price,XRP_Market_Cap,ADA_Price,ADA_Market_Cap,DOGE_Price,DOGE_Market_Cap,AVAX_Price,AVAX_Market_Cap,TRX_Price,TRX_Market_Cap,DOT_Price,DOT_Market_Cap
2021-11-07,61588.4662843979,1200975092545.759,4524.148094270042,542897771312.405,259.07987612599,150266328153.0742,636.7003589034427,93594952758.80609,1.1535668594755217,61139043552.20265,2.007586817832905,70265538624.15167,0.2621994893676686,37756726468.94428,78.58557270470698,35363507717.11814,0.1026740937736946,9035320252.085125,52.058352666639934,67675858466.63191
2021-11-14,64546.97499945137,1258666012489.3018,4658.976051358215,559077126162.9858,241.7770240674749,140230673959.13544,651.14994046365,95719041248.15654,1.1923668164794992,63195441273.41345,2.0549173546194184,71922107411.67964,0.2620223050208903,37731211923.0082,97.46911093453444,43861099920.5405,0.1129135913622392,9936396039.87705,47.18939307943853,61346211003.27009
2021-11-21,59854.3872399593,1167160551179.2063,4422.595593440763,530711471212.89154,218.49304317458476,126725965041.25916,605.3311491257003,88983678921.47795,1.0994199424372353,58269256949.17347,1.9265239456067325,67428338096.235634,0.2338443407838336,33673585072.872036,125.88534259688056,56648404168.59625,0.1054428373879321,9278969690.138025,42.13571479898519,54776429238.68075
2021-11-28,54943.780141809715,1071403712765.2894,4104.830823227005,492579698787.24054,193.43544290305408,112192556883.77136,602.4149063939992,88554991239.9179,0.9485045614610532,50270741757.43582,1.548570889591748,54199981135.71118,0.2054848172731853,29589813687.338684,113.6803158963016,51156142153.33572,0.0936007387990222,8236865014.313953,35.20404541798563,45765259043.381325
2021-12-05,49350.95435855653,962343609991.8524,4128.822559203143,495458707104.3772,201.9666033421308,117140629938.43587,572.1586817037271,84107326210.44788,0.8487013015764261,44981168983.55058,1.4255613368732187,49894646790.56265,0.179864572114939,25900498384.551216,93.11935522532714,41903709851.39722,0.087294688333235,7681932573.32468,29.45278548593218,38288621131.71183
2021-12-12,49450.27338125528,964280330934.478,4091.8800474869736,491025605698.4368,172.00299609397243,99761737734.50401,565.5196065898582,83131382168.70915,0.8404755291879483,44545203046.96126,1.3554080392940306,47439281375.29107,0.1691356469849603,24355533165.834286,86.56653353138262,38954940089.12218,0.0917068441692172,8070202286.891114,27.838158449532767,36189605984.39259
2021-12-19,46950.53960689337,915535522334.4207,3969.521436234229,476342572348.1075,183.13092307242152,106215935382.00449,535.2878056083938,78687307424.43388,0.8278575631544166,43876450847.18408,1.2446790482095105,43563766687.33286,0.172679461708242,24865842485.986847,116.17662942862913,52279483242.88311,0.0805774371233431,7090814466.854193,25.567395225341546,33237613792.944008
2021-12-26,50643.57233658396,987549660563.3872,4110.627054382384,493275246525.88605,193.90010405249004,112462060350.44421,549.446653359391,80768658043.83047,0.9293273120208966,49254347537.10752,1.458670565904602,51053469806.66107,0.191553091523611,27583645179.399982,115.58203602562392,52011916211.53076,0.0818049532615801,7198835887.01905,28.988243337204423,37684716338.36575
2022-01-02,47791.32202628568,931930779512.5707,3773.348479069508,452801817488.34094,179.01486817710483,103828623542.7208,528.4314992413633,77679430388.48041,0.8516086567542897,45135258807.97735,1.3779101214778775,48226854251.725716,0.1733828519451281,24967130680.098446,114.41021376412893,51484596193.85802,0.0767085069964517,6750348615.687749,28.611861509567326,37195419962.43752
2022-01-09,41840.402865526135,815887855877.7596,3092.8318766047705,371139825192.57245,142.48626765105504,82642035237.61192,431.4090800637504,63417134769.371315,0.7486908345177573,39680614229.44114,1.1877613402979816,41571646910.42936,0.1515252125363016,21819630605.227432,84.24405523114882,37909824854.01697,0.0656869822573081,5780454438.643112,24.07002710563791,31291035237.32928
